District,villageName,taluka,institutionType,organisationName,solarDemand
Sangli,Salgare,Miraj,Health Subcenter,Hwc salgare,5kW
Sangli,Savalwadi ,Miraj,Health Subcenter,Ayushyaman Aarogy Mandir Savalwadi ,10kW
Sangli, Santoshwadi,Miraj,Health Subcenter,Hwc  santoshwadi,5kW
Sangli,Bhikwdi Khurd,Kadegaon,Health Subcenter,Ayushyaman Aarogy Mandir,4kW
Sangli,Borgaon,Walwa,Health Subcenter,Sub center Borgaon 2,7kW
Sangli,Borgaon,Walwa,Health Subcenter,Borgaon 2 sub center,7kW
Sangli,Chorochi,Kavthe Mahankal,Health Subcenter,HWC Chorochi,10kW
Sangli,Punadi ,Tasgaon,Health Subcenter,Hwc punadi ,4kW
Sangli,Aravade,Tasgaon,Health Subcenter,"Aayushman Aarogya Mandir,Aravade",3kW
Sangli,Borgaon ,Walwa,Health Subcenter,Borgaon 1 ,7kW
Sangli,Shirgaon walwa,Walwa,Health Subcenter,Arogya mandir shirgaon,2kW
Sangli,Uplavi,Tasgaon,Health Subcenter,Arogya vardhini Sub Center,3kW
Sangli,Nagewadi,Khanapur,Health Subcenter,Nagewadi ayushman arogya kendra,7kW
Sangli,Mahuli,Khanapur,Health Subcenter,Mahuli ayushman arogya kendra,7kW
Sangli,Devikhindi,Khanapur,Health Subcenter,Devikhindi ayushman arogya kendra,7kW
Sangli,Jadarboblad ,Jat,Health Subcenter,Sc jadarboblad ,4kW
Sangli,Mahuli ,Khanapur,Health Subcenter,Mahuli ,3kW
Sangli,Renavi ,Khanapur,Health Subcenter,Renavi ,3kW
Sangli,Gachan,Tasgaon,Health Subcenter,Gavhan,7kW
Sangli,Belawde ,Kadegaon,Health Subcenter,AAM belawde ,5kW
Sangli,Kundlapur ,Kavthe Mahankal,Health Subcenter,AAM Kundlapur ,3kW
Sangli,PHC Nagaj,Kavthe Mahankal,Primary Health Center,Nagaj ,10kW+
Sangli,Siddhewadi,Tasgaon,Health Subcenter,Aayushman Aarogya Mandir Siddhewadi ,3kW
Sangli,Aitwade Khurd ,Walwa,Health Subcenter,"Ayushyaman Arogya Mandir, Aitwade khurd ",7kW
Sangli,mirajwadi ,Walwa,Health Subcenter,Ayushman arogya Mandir mirajwadi ,3kW
Sangli,Surul ,Walwa,Health Subcenter,Aayushman Aarogya Mandir Sub Center  Surul ,7kW
Sangli,Sandgewadi ,????,Health Subcenter,Arogya mandir Sandgewadi ,3kW
Sangli,Islampur,Walwa,School,"Zilla Parishad  No.2, Islampur",3kW
Sangli,Payappachiwadi ,Miraj,Health Subcenter,Payappachiwadi ,5kW
Sangli,Savlaj,Tasgaon,School,Zilla Parishad  No.2 Savlaj ,4kW
Sangli,Pandharewadi Atpadi,Atpadi,School,Zilla Parishad Primary School Pandhrewadi  ,10kW
Sangli,Shipur,Miraj,Health Subcenter,Ayushman arogya mandir shipur,5kW
Sangli,Payappachiwadi ,Miraj,Health Subcenter,Ayushman arogya mandir Payappachiwadi ,5kW
Sangli,Dongrsoni,Tasgaon,Health Subcenter,Dongarsoni,10kW
Sangli,Ranjanwadi ,Shirala,Health Subcenter,HWC -MENI ,3kW
Sangli,Chinchani,Tasgaon,School,Zilla Parishad Girls Primary School No.2 Chinchani ,5kW
Sangli,Sandgewadi ,????,School,Zilla Parishad School Sandgewadi .Taluka Palus Zilla Sangli,3kW
Sangli,Kargani,Atpadi,School,Z.P Kargani No. 2 ,10kW+
Sangli,Gourgaon ,Tasgaon,Health Subcenter,AAM-GOURGAON,5kW
Sangli,Umadi,Jat,School,Vitthal Siddhaapa Biradar,3kW
Sangli,Ambewadi,Atpadi,School,Zilla Parishad Primary School Ambewadi ,5kW
Sangli,Dorli,Tasgaon,Health Subcenter,Dorli,5kW
Sangli,Umadi ,Jat,School,Z.P.Primary Marathi School Shinde-Korevasti(Umdi),2kW
Sangli,Madgyal ,Jat,Health Subcenter,HWC madgyal ,3kW
Sangli,Washan,Jat,School,Z.P.School Vashan,2kW
Sangli,Z.P.School Morale ,Palus,School,Zilla Parishad Sangli,10kW
Sangli,Vadgaon,Tasgaon,School,Zilla Parishad Primary School  Vadgaon,10kW+
Sangli,Banpuri,Atpadi,School,Z. P. P. SCHOOL PUKALEWASTI ,2kW
Sangli,Chinchani,Tasgaon,School,Zilla Parishad Girls Primary School No.2 Chinchani ,10kW+
Sangli,Dafalapur ,Jat,School,Zilla Parishad Primary School Marathi Girls School No.1 ?? Daflapur,5kW
Sangli,Ramanandnagar ,????,School,Zilla Parishad School No.1  Ramanandnagar ,7kW
Sangli,Julewadi,Tasgaon,School,Zilla Parishad School Julewadi ,5kW
Sangli,Bombewadi ,Atpadi,School,Zilla Parishad Primary School Bombewadi ,2kW
Sangli,Dafalapur,Jat,School,Zilla Parishad School Chavanvasti No.1 (Daflapur),2kW
Sangli,Mouje Digraj ,Miraj,Health Subcenter,Arogya Sub Center Mauje Digraj  ,3kW
Sangli,Arawade,Tasgaon,School,Zilla Parishad Primary School Chavhan vasti (Arvade ),2kW
Sangli,Dafalapur ,Jat,School,Zilla Parishad Primary School Maliwadi ,5kW
Sangli,Manjarde,Tasgaon,School,Zilla Parishad Primary Schoo lMohitmala Manjarde,2kW
Sangli,Limbgaon (Kacharewadi),Tasgaon,School,Zilla Parishad School Limbgaon,2kW
Sangli,Umadi,Jat,School,Z P Primary Kannada School Umadi No 4 ,3kW
Sangli,Malgaon,Miraj,School,"Zilla Parishad School Ramnagar, Malgaon",2kW
Sangli,Somalagi,Jat,School,Zilla Parishad Primary Kannada School Pandhre Vasti Sonlagi ,10kW+
Sangli,Nagewadi,Tasgaon,School,Zilla Parishad School Nagewadi ,3kW
Sangli,Shirgaon Kavthe,Tasgaon,Health Subcenter,Ayushman arogya mandir Shirgaon Kavthe ,7kW
Sangli,Nandiwalevasti (gundewadi),Miraj,School,Zilla Parishad School Nadiwale Vasto( Gundewadi ),3kW
Sangli,Tadwale,Atpadi,School,Zilla Parishad Primary School  Tadwale,2kW
Sangli,Shirsatwadi ,Shirala,Health Subcenter,Ranjanwadi ,4kW
Sangli,Umadi,Jat,School,Zilla Parishad Primary Marathi School Jadhav vasti Umadi,2kW
Sangli,Yelapur ,Shirala,Health Subcenter,Yelapur ,5kW
Sangli,Banali ,Jat,School,"Zilla Parishad School, Sawantwadi ",2kW
Sangli,Karalwada (Lengarewadi),Atpadi,School,"Zilla Parishad School, Karalvada",2kW
Sangli,Pawar Mala,Khanapur,School,Zilla Parishad Primary School; Pawar Mala,3kW
Sangli,Hajarwadi Peth,Tasgaon,School,Zilla Parishad Primary School  Hajarwadi,2kW
Sangli,Chabukswarwadi ,Miraj,School,Zilla Parishad School Chabuksvarwadi Taluka Miraj Zilla Sangli,3kW
Sangli,Khanderajuri,Miraj,School,Z.P.Model School Khanderajuri,1kW
Sangli,INGALEVASTI (PUNADI tarf Walva),????,School,Zilla Parishad Primary School Ingle vasti (Pundhi) ,1kW
Sangli,Umadi ,Jat,School,Zilla Parishad Primary Kannada School Talivasti Umdi,2kW
Sangli,Sonlgi,Jat,School,Zilla Parishad Primary  Marathi School Sonlagi,10kW+
Sangli,Ekundi,Jat,School,Zilla Parishad Primary  Marathi School Ekundi,10kW+
Sangli,Khanderajuri ,Miraj,School,Z.P.Model School Khanderajuri,2kW
Sangli,Gundewadi,Miraj,School,Zilla Parishad Primary School Gundewadi ,7kW
Sangli,Shetfale,Atpadi,School,Zilla Parishad Primary School Rabaimala,10kW+
Sangli,Bagani ,Walwa,Primary Health Center,Primary Health Center Bagani,10kW
Sangli,Umadi ,Jat,School,Zilla Parishad Primary School no.2 Umadi,4kW
Sangli,Banpuri ,Atpadi,School,Zilla Parishad School No.2 Banpuri ,7kW
Sangli,Khatav,Miraj,School,"Zilla Parishad  School, Dalviwadi",7kW
Sangli,Shetfale,Atpadi,School,Zilla Parishad  School Mala Shetphale Taluka Atpadi ,7kW
Sangli,Alsand,Khanapur,School,Zilla Parishad School Alsund,5kW
Sangli,Karandewadi Nigadi Budruk,Jat,School,Zilla Parishad Primary Marathi Karandewadi  School,5kW
Sangli,Kolgerivasti umadi,Jat,School,Z.p. primary kannad school kolgerivasti ,3kW
Sangli,Bagani,Walwa,Health Subcenter,Sub center Bagani ,4kW
Sangli,Koregaon ,Walwa,Health Subcenter,AAM Koregaon ,3kW
Sangli,Bagani ,Walwa,Primary Health Center,Primary Health Center Bagani,10kW+
Sangli,Ko.Boblad,Jat,School,Zilla Parishad Sangli ,3kW
Sangli,dhawaleshwar ,Khanapur,Health Subcenter,Ayushyaman arogya mandir dhawaleshwar ,3kW
Sangli,Umadi,Jat,School,Zilla Parishad Primary Marathi  Shevale-Mali (Umdi) ,2kW
Sangli,Kundalwadi ,Walwa,Health Subcenter,AAM Kundalwadi ,3kW
Sangli,Motewadi (Ko.Boblad) ,Jat,School,Zilla Parishad Sangli ,2kW
Sangli,Changbhalewasti (Kargani),Atpadi,School,Zilla Parishad Sangli ,7kW
Sangli,Ghanwad,Khanapur,Health Subcenter,AAM ghanwad,10kW+
Sangli,Chabuksawarwadi ,Miraj,School,Z.p School Honrao Kore Vasti chabukswarwadi ,2kW
Sangli,Karanjwade,Walwa,Health Subcenter,Karanjvade,3kW
Sangli,Ekundi,Jat,School,Zilla Parishad ,3kW
Sangli,Kamlapur,Khanapur,School,Zilla Parishad School Jadhavmala Kamlapur  ,2kW
Sangli,Shirshi,Shirala,School,Zilla Parishad  Primary School Mahindwadi  ,2kW
Sangli,Jadhav nagar,Khanapur,School,Zilla Parishad School Jadhav Nagar,2kW
Sangli,Itawade Budruk,Walwa,Health Subcenter,Aitavde Budruk ,4kW
Sangli,Nangole,Kavthe Mahankal,Health Subcenter,Ayushyaman arogya mandir Nagole ,5kW
Sangli,Irli,Kavthe Mahankal,Health Subcenter,Ayushyaman arogya mandir Irali ,5kW
Sangli,PADMALE ,Miraj,Health Subcenter,Ayushman Arogya Mandir Padmale,3kW
Sangli,Chikurde,Walwa,Primary Health Center,Primary Center Chikurde,10kW+
Sangli,Salshinge,Khanapur,Health Subcenter,Salshinge Sub Center,2kW
Sangli,Galvewadi ,Atpadi,Health Subcenter,AAM Galvewadi ,5kW
Sangli,Utagi,Jat,School,Z. P. P. School chanagondvasti utagi,2kW
Sangli,Dongarsoni,Tasgaon,School,Z.p.school Dongarsoni,2kW
Sangli,Ko. Boblad,Jat,School,"Shri Ramchandrarao shinde madhyamik Vidyalay, Ko. Boblad",5kW
Sangli,Banpuri ,Atpadi,School,Zilla Parishad School Baravkarvasti ,3kW
Sangli,Shingnapur,Jat,School,Zilla Parishad School Shignapur,4kW
Sangli,Banpuri ,Atpadi,School,Zilla Parishad School Baravkarvasti ,2kW
Sangli,Malabadivasti ,Jat,School,Z P primary kannada school Malabadivasti ,10kW
Sangli,Kasegaon,Walwa,Primary Health Center,Ayushman Arogya Mandir Kasegaon ,10kW
Sangli,Bamani ,Khanapur,Health Subcenter,AAM Bamni ,3kW
Sangli,Mangrul ,Khanapur,Health Subcenter,AAM Mangrul ,3kW
Sangli,Khalati,Jat,School,Zilla Parishad School Nagar Khalati ,10kW
Sangli,Balwadi Bha,Khanapur,School,Zilla Parishad Primary School ,2kW
Sangli,GIRAGAON ,Jat,School,Z P P KANNADA SCHOOL MADANEVASTI (GIRAGAON),2kW
Sangli,Z.P.School No 1 Shetfale,Atpadi,School,Zilla Parishad Primary School No.2 Shetphale ,2kW
Sangli,Retharedharan,Walwa,Health Subcenter,Ayushman Arogya Mandir Kasegaon ,10kW
Sangli,Balawadi bha,Khanapur,Health Subcenter,Seva,7kW
Sangli,Aakalwadi,Jat,School,Z P primary kannada school Mavinmarkasti Akalwadi ,5kW
Sangli,Kouthuli,Atpadi,Health Subcenter,"Ayushman Arogya Mandir, Kouthuli ",3kW
Sangli,Sonalgi,Jat,School,Z P primary kannada school Sonlagi Taluka. Jath  ,2kW
Sangli,YELUR,Walwa,Primary Health Center,"PRIMARY HEALTH CENTER, YELUR",10kW
Sangli,Bhose,Miraj,Primary Health Center,Primary health center bhose,10kW
Sangli,Nandre,Miraj,Primary Health Center,Primary  Health Centre  Nandre   Dist  Sangli,10kW
Sangli,Narsingpur ,Tasgaon,School,Z P SCHOOL NARSINGPUR POST PED TAL TASGAON DISTRICT SANGLI ,5kW
Sangli,Sawadekarwadi ,Shirala,School,Zilla Parishad School Savadekarwadi,2kW
Sangli,Savarde,Tasgaon,School,Zilla Parishad School Sawarde,2kW
Sangli,Madalgaon,Shirala,School,Zilla Parishad School Virwadi Madalgaon,2kW
Sangli,Utagi,Jat,School,Zilla Parishad Primary Marathi School Utagi,10kW
Sangli,Kavaji Khotwadi ,Miraj,Health Subcenter,Ayushman Arogya Mandir Kavaji Khotwadi ,3kW
Sangli,Khalati,Jat,School,Zilla Parishad Primary Marathi School Khalati ,10kW
Sangli,Wakurde budruk,Shirala,School,Zilla Parishad School Manewadi Wakurde Budruk.,2kW
Sangli,walwa,Walwa,Veterinary Hospital,veterinary hospital walwa,2kW
Sangli,Madahvnagar,Miraj,School,Z.p. school no 2 Madhavnagar ,3kW
Sangli,Vijaynagar,Tasgaon,School,Zilla Parishad  School Vijaynagar  ,2kW
Sangli,Dighanchi,Atpadi,School,Zilla Parishad School Nalvasti ,10kW
Sangli,Kusaiwadi ,Shirala,Health Subcenter,Ayushman Arogya Vardini Sub Center Kusaiwadi ,5kW
Sangli,Z.P.School Futka Gana Savarde,Tasgaon,School,Zilla Parishad School Futka Ghana Sawarde ,2kW
Sangli,Vitthalnagar Gavhan,Tasgaon,School,Z.P.SCHOOL VITTHALNAGAR ,3kW
Sangli,Padwalwadi  (Wakurde bu),Shirala,School,Zilla Parishad School Padwalwadi ,2kW
Sangli,Mankrwadi (Antri budruk),Shirala,School,Zilla Parishad School Mankarwadi  ,2kW
Sangli,Salgare,Miraj,School,Shri Siddeshwar Shasideshwar Education Broadcasting Corporation Slagare,10kW
Sangli,Kargani,Atpadi,School,Zilla Parishad School Changbhale Vasti ,2kW
Sangli,ANJANI ,Tasgaon,Health Subcenter,Ayushman arogya mandir Anjani ,10kW
Sangli,YELUR,Walwa,Health Subcenter,SUB CENTER YELUR,3kW
Sangli,Ramnagar Kargani,Atpadi,School,Zilla Parishad School Ramnagar Kargani,2kW
Sangli,Kargani,Atpadi,School,Zilla Parishad School No.1 Kargani,7kW
Sangli,Kargani,Atpadi,School,Zilla Parishad School Nagmali Kargani,2kW
Sangli,Girgaon,Jat,School,Zilla Parishad Primary Kannada School Girgaon Taluka Jath ,7kW
Sangli,Chinchani Wangi ,Kadegaon,Other,Rural Hospital Chinchani Wangi ,10kW+
Sangli,Patilwasti Jirgyal,Jat,School,Zilla Parishad School  Patilvasti Jirgyal Taluka Jath ,2kW
Sangli,Red,Shirala,School,Zilla Parishad Primary School Red ,2kW
Sangli,Tadawale,Atpadi,School,Zilla Parishad School  Gondirapati Tadawale,2kW
Sangli,Khed,Shirala,School,Zilla Parishad School Khed,2kW
Sangli,Sankh,Jat,School,Zilla Parishad Primary Kannada School Paitl Vasti Sankh,10kW+
Sangli,Nigadi ,Shirala,School,Zilla Parishad Central School Nigadi ,4kW
Sangli,Z.P.School Shamnagar kupwad,Miraj,School,Zilla Parishad School Sham Nagar Kupwad ,10kW
Sangli,Beldarwadi,Shirala,School,Zilla Parishad Primary School Beldarwadi,2kW
Sangli,Lakshmiwadi,Miraj,School,Zilla Parishad School Lakshmiwadi Taluka Miraj ,2kW
Sangli,Shetfale,Atpadi,School,Zilla Parishad Primary School No2 Shetfale,3kW
Sangli,Badewadi,Shirala,School,Zilla Parishad School  Bandewadi ,2kW
Sangli,Dhalgaon,Kavthe Mahankal,Veterinary Hospital,Veterinary Clinic Category 1 Dhalgaon,2kW
Sangli,Shirdhon,Kavthe Mahankal,Veterinary Hospital,"Veterniary  Clinic Davakhana shreni 1, Shirdhon",2kW
Sangli,Aundhi ,Shirala,School,Z.P. school Aundhi,2kW
Sangli,Talewadi,Atpadi,School,Zilla Parishad School Shindevasti Talewadi,2kW
Sangli,Chichani ,Tasgaon,School,Zilla Parishad School Malinagar Chinchani,2kW
Sangli,Deshing ,Kavthe Mahankal,Veterinary Hospital,Veterinary  Clinic Davakhana 1 Deshing,2kW
Sangli,Chinchani (Malinagar),Tasgaon,School,Zilla Parishad School Mali Nagar Chinchani,2kW
Sangli,Vajrechaundi,Tasgaon,School,Zilla Parishad Primary School Vajrechaundi,10kW
Sangli,Walikindi,Jat,Veterinary Hospital,Walikindi  Grade 2,5kW
Sangli,Shindewadi ,Miraj,School,Zilla Parishad School Shindwadi Aarag  ,10kW+
Sangli,Waifale ,Jat,School,Zilla Parishad Primary School Vaifale Taluka Jath ,4kW
Sangli,Shelkewadi,Jat,School,Zilla Parishad School Shelkewadi ,2kW
Sangli,Chambarwadi,Jat,School,Zilla Parishad Primary Marathi School Chambarwadi Umdi,3kW
Sangli,Utagi ,Jat,School,Zilla Parishad Primary Kannada School l Utagi ,10kW
Sangli,Daribadchi ,Jat,Veterinary Hospital,Veterinary Dispensary Grade 1,10kW+
Sangli,Ashta,Walwa,Veterinary Hospital,Veterinary Dispensary Ashta ,10kW
Sangli,Kameri,Walwa,Health Subcenter,Arogya Vardini Kameri 1,3kW
Sangli,Karanje ,Khanapur,Health Subcenter,Sub Center Karanje,3kW
Sangli,Ped,Tasgaon,School,"Zilla Parishad School,Vithobamala Ped ",2kW
Sangli,Kundal ,Palus,Primary Health Center,Kundal PHC,7kW
Sangli,Korevasti(Jirgayal),Jat,School,Zilla Parishad School Korevasti Taluka Jath,5kW
Sangli,Karungali,Shirala,Health Subcenter,HWC Karungali ,5kW
Sangli,Mahuli,Khanapur,Health Subcenter,Ayush Arogya Kendra ,10kW
Sangli,Kameri,Walwa,Health Subcenter,Government ,10kW
Sangli,Ghogav, Palus,Health Subcenter,Ayushman arogya mandir Ghogav,5kW
Sangli,Palus, Palus,Veterinary Hospital,Veterinary Dispensary Palus,10kW
Sangli,Magadumvadi,Miraj,School,Z. P. School magadimvadi ,10kW+
Sangli,Ramanandnagar , Palus,Veterinary Hospital,Veterinary Dispensary  Ramanadnagar ,7kW
Sangli,Bhatwadi ,Shirala,School,Zilla Parishad School Bhatwadi ,2kW
Sangli,Malwadi, Palus,Veterinary Hospital,Veterinary Dispensary  Malwadi ,7kW
Sangli,Nagrale, Palus,Health Subcenter,Ayushman Arogya Mandir ,5kW
Sangli,Giragaon ,Jat,School,Z p pri kannada school kumbharvasti girgaon ,5kW
Sangli,Lengre ,Khanapur,Health Subcenter,Ayushman Arogya Mandir ,10kW
Sangli,Walwa,Walwa,Health Subcenter,Walwa  3,10kW+
Sangli,Kargani(Shindenagar),Atpadi,School,Z.P. School Shindenagar Kargani,2kW
Sangli,Umadi,Jat,School,Z. P. Primary  Marathi school shinde shevale vasti umadi,10kW
Sangli,Kameri,Walwa,Health Subcenter,Arogya Mandir Sub Center Kameri 2,3kW
Sangli,Dafalapur,Jat,School,Z.P.Primary Boys School No.1 Daflapur,10kW+
Sangli,Peth ,Walwa,School,Zilla Parishad Urdu School No.3 Peth ,1kW
Sangli,Talewadi,Atpadi,School,Zilla Parishad School Talewadi ,10kW
Sangli,Mansurvadi ,Miraj,School,Z. P. School mansurvadi ,2kW
Sangli,Chabukswarwadi ,Miraj,School,Zilla Parishad School Chougule-Khotvasti Chabukswarwadi,2kW
Sangli,Umadi,Jat,School,Z. P. Primary  Marathi school Slum Area (zopadpatti ) Umadi,5kW
Sangli,Nathavade ,Shirala,Health Subcenter,HWC Nathavade ,5kW
Sangli,Tadwale,Shirala,School,Zilla Parishad School Tadwale ,2kW
Sangli,Santoshnagar nagaon,Walwa,School,Z.P.School Santoshnagar ,2kW
Sangli,Dafalapur ,Jat,School,Zilla Parishad School No.2 Daflapur ,7kW
Sangli,Khatav,Miraj,School,Zilla Parishad  Primary  School Vhananvarvasti  Khatav ,2kW
Sangli,Arag,Miraj,School,Z.P.Urdu School Arga,5kW
Sangli,Lengare,Khanapur,Primary Health Center,PHC Lengare,10kW+
Sangli,Bagani,Walwa,School,Z.p.school bagani no.2 ,3kW
Sangli,Karungali,Shirala,Health Subcenter,AAM Karungali ,5kW
Sangli,Manewadi (Kargani),Atpadi,School,Zilla Parishad  Primary  School Manewadi Kargani ,2kW
Sangli,Umadi ,Jat,School,Zilla Parishad School marchanditanda Umdi  ,4kW
Sangli,Sandgewadi,????,Health Subcenter,Ayushman Arogya Mandir  Sandgewadi,1kW
Sangli,Shetfale,Atpadi,School,Zilla Parishad School Ranmala Shetfale,10kW+
Sangli,Burungwadi ,????,Health Subcenter,Burungwadi ,3kW
Sangli,Bhalawani ,Khanapur,Veterinary Hospital,Veterinary Dispensary 1 Bhalwani  ,4kW
Sangli,Malgaon,Miraj,School,Zilla Parishad School No.2 Malgaon,7kW
Sangli,Savlaj,Tasgaon,School,Zilla Parishad  Primary  School Shivnagar Savlaj,3kW
Sangli,Walwa,Walwa,Health Subcenter,Subcenter walwa 2,3kW
Sangli,Wadibhag Antri Khurd ,Shirala,School,Z.P. School Wadibhag Antri Khurd,2kW
Sangli,Tupari,????,Health Subcenter,Ayushman Arogya Mandir Tupari ,3kW
Sangli,Sawantpur ,????,Health Subcenter,AAM SAWANTPUR ,3kW
Sangli,Hajarwadi ( Shignapur),Jat,School,Zilla Parishad School Hajarewadi (Shignapur) Taluka Jath ,10kW
Sangli,Bramhnal ,????,Health Subcenter,Ayushman Arogya Mandir Bramhnal ,3kW
Sangli,Andhali ,????,Health Subcenter,Ayushman Arogya Mandir Andhali,5kW
Sangli,Sargarvasti(Talewadi),Atpadi,School,Zilla Parishad School Sargavasti ,10kW
Sangli,Kundal pundi,????,Health Subcenter,Ayushman arogya mandir pundi,3kW
Sangli,Jadarboblad ,Jat,School,Zilla Parishad  ,5kW
Sangli,Shirala ,Shirala,School,Z.P. School Shirala no I ,3kW
Sangli,Koregaon ,Walwa,School,Zilla Parishad School Koregaon 1,3kW
Sangli,Antri Khurd,Shirala,School,Zilla Parishad  ,2kW
Sangli,Ramanandnagar ,????,Health Subcenter,Ayushman arogya mandir Ramanandnagar ,3kW
Sangli,Kurnevasti(Siddhewadi),Miraj,School,Zilla Parishad Sangli ,3kW
Sangli,Lode,Tasgaon,School,Zilla Parishad School Lode ????,3kW
Sangli,B .C farm utagi ,Jat,School,Z P P kannada school B C Farm Utagi ,10kW+
Sangli,HARIPUR ,Miraj,Health Subcenter,Aorgya Vardini Haripur,4kW
Sangli,Kharsundi,Atpadi,Veterinary Hospital,"Veterinary Dispensary ,No 2 Kharsundi",2kW
Sangli,Vasumbe ,Khanapur,Health Subcenter,Aayushman aarogya Mandir vasumbe ,10kW+
Sangli,Lingnur ,Miraj,Veterinary Hospital,Veterinary Dispensary Grade-1 Lingnur ,2kW
Sangli,Budhagaon ,Miraj,School,Z.p.school no.1 Budhagaon ,10kW+
Sangli,Panumbre warun,Shirala,Health Subcenter,Ayushman Arogya Mandir P T warun 1 ,3kW
Sangli,Khanderajuri ,Miraj,Veterinary Hospital,Veterinary Dispensary Grade-1 Khanderajuri ,2kW
Sangli,Lodhe,Tasgaon,School,Zilla Parishad  Primary School Lode,3kW
Sangli,Umadi ,Jat,School,Zilla Parishad  Primary Marathi School Ghulevasti` Umdi ,2kW
Sangli,Vijaynagar (Kupwad),Miraj,School,Zilla Parishad School Vijaynagar Kupwad ,3kW
Sangli,Nelkaranji,Atpadi,Veterinary Hospital,Nelkaranji ,5kW
Sangli,Gharniki ,Atpadi,Veterinary Hospital,Veterinary Dispensary 1 Gharniki,4kW
Sangli,Salgare Zilla Parishad School No.2 Salgare ,Miraj,School,Zilla Parishad School No 2 Salgare ,10kW+
Sangli,Shirala ,Shirala,School,Zilla Parishad Urdu School  No.4 Shirala ,10kW
Sangli,Zare ,Atpadi,Veterinary Hospital,Veterinary Dispensary Grade-1 Zare,4kW
Sangli,Arag ,Miraj,School,Zilla Parishad School Ashoknagar Arag,2kW
Sangli,Payappachi wadi ,Miraj,School,Zilla parishad school payappachi wadi,5kW
Sangli,Tisargi ,Kavthe Mahankal,Veterinary Hospital,Veterinary Dispensary 1 Tisangi,2kW
Sangli,Arag ,Miraj,School,Zilla parishad school Birobamali Arag ,2kW
Sangli,Mandur ,Shirala,Primary Health Center,Primary Health Center Mandur ,10kW+
Sangli,Mahuli,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade-1 Mahuli ,5kW
Sangli,Arag ,Miraj,School,Zilla parishad school Gokulnagar Arag ,2kW
Sangli,Nelkaranji ,Atpadi,Veterinary Hospital,Veterinary Dispensary,5kW
Sangli,Manerajuri,Tasgaon,School,Zilla parishad school Bhoslenagar  ,1kW
Sangli,Atpadi,Atpadi,Veterinary Hospital,Veterinary Dispensary Grade 1 Atpadi ,5kW
Sangli,Mandur,Shirala,Primary Health Center,Primary Health Center Mandur ,10kW+
Sangli,Koregaon ,Walwa,School,Zilla parishad school Koregaon No.2,2kW
Sangli,Ankalkhop,????,Health Subcenter,Aayushman Aarogya Mandir Ankalkhop,5kW
Sangli,Bambavade ,????,Health Subcenter,Sub Center Bambavde ,10kW
Sangli,Budhgaon ,Miraj,School,Z.P.School no.3 Budhgaon ,2kW
Sangli,Nagthane ,Palus,Health Subcenter,Hwc Nagthane ,3kW
Sangli,Kargani,Atpadi,Veterinary Hospital,Veterinary Dispensary Grade 1 Kargani,4kW
Sangli,Panchavarnwadi (Khatav),Miraj,School,Zilla parishad school  Panchavarnwadi Khatav,2kW
Sangli,Punwat ,Shirala,Health Subcenter,Aayushman Aarogya Mandir Punwat  ,4kW
Sangli,Arag,Miraj,School,Zilla parishad school Arag,2kW
Sangli,Bhalawani,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Bhalwani ,5kW
Sangli,Burungwadi ,Palus,Health Subcenter,Burungwadi ,3kW
Sangli,Khatav,????,Health Subcenter,Aayushman Aarogya Mandir Khatav,3kW
Sangli,Madhavnagar ,Miraj,School,Zilla parishad school No.1 Madhavnagar ,3kW
Sangli,Kavalevasti Arag,Miraj,School,Zilla parishad school Kavalevasti Arag,2kW
Sangli,Uthgi,Jat,School,Zilla parishad Primary Kannada School Teli Vasti Uthgi,7kW
Sangli,Aalte ,Tasgaon,Health Subcenter,Aam aalte ,3kW
Sangli,Umadi ,Jat,School,Zilla parishad Primary Kannada School Jati Vasti Umadi,10kW
Sangli,Dudhondi,Palus,Health Subcenter,"Aayushman Aarogya Mandir  ,Dudhondi ",5kW
Sangli,Z.P.Prathamik Kannada School Nivargi Vasti Sonyal ,Jat,School,Zilla Parishad ,2kW
Sangli,Girjavde,Shirala,School,Zilla parishad school  Girjavde ,3kW
Sangli,Kuchi,Kavthe Mahankal,Veterinary Hospital,Veterinary Dispensary  Kuchi,2kW
Sangli,Z.P.P kannada school koravjidavivasti utagi,Jat,School,Z.p,7kW
Sangli,Malwadi (Arag),Miraj,School,Zilla parishad school Malwadi Arag,4kW
Sangli,Lamantanda ( n. b. ) ,Jat,School,Zilla parishad Marathi School Lamantanda  ,2kW
Sangli,Madgul,Atpadi,Health Subcenter,Aayushman Aarogya Mandir  Madgule  ,3kW
Sangli,Z.P.Prathamik School Varadkhindi ( Kargani),Atpadi,School,Zilla Parishad Primary School Varadkhindi ,2kW
Sangli,Sankh,Jat,School,Zilla Parishad Sangli ,5kW
Sangli,Dhavli,Walwa,School,Zilla parishad school Dhavli,3kW
Sangli,Pokharni,Walwa,School,Zilla parishad school Pokharni,2kW
Sangli,Gopalpura,Miraj,School,Z. P. School Gopalpura madhavnagar,2kW
Sangli,Umrani,Jat,Veterinary Hospital,Umrani ,10kW
Sangli,Lamntanda  (Uthagi),Jat,School,Zilla parishad Marathi School Lamantanda ,2kW
Sangli,Jadarboblad ,Jat,School,Zilla Parishad ,2kW
